praf	pmek	plcg	PIP2	PIP3	p44.42	pakts473	PKA	PKC	P38	pjnk	expt
high	high	high	high	low	high	high	low	high	high	high	4_cd3cd28+g0076
high	high	high	high	medium	high	high	low	high	high	high	4_cd3cd28+g0076
high	high	high	high	high	high	high	low	high	high	high	4_cd3cd28+g0076
high	high	high	high	high	high	high	low	high	high	high	4_cd3cd28+g0076
high	high	high	high	medium	high	high	low	high	high	high	4_cd3cd28+g0076
high	high	high	high	high	high	high	low	high	high	high	4_cd3cd28+g0076
high	high	high	high	high	medium	high	low	high	high	high	4_cd3cd28+g0076
high	high	high	high	low	high	high	low	high	high	high	4_cd3cd28+g0076
high	high	high	high	low	high	high	low	high	high	high	4_cd3cd28+g0076
high	high	high	high	low	high	high	low	high	high	high	4_cd3cd28+g0076
high	high	high	high	low	high	high	low	high	high	high	4_cd3cd28+g0076
high	high	high	high	low	high	high	low	medium	high	high	4_cd3cd28+g0076
high	high	high	high	medium	high	high	low	high	high	high	4_cd3cd28+g0076
high	high	high	high	low	high	high	low	high	high	high	4_cd3cd28+g0076
high	high	high	high	low	high	high	low	high	high	high	4_cd3cd28+g0076
high	high	high	high	low	high	high	low	high	high	high	4_cd3cd28+g0076
high	high	high	high	high	high	high	low	high	high	high	4_cd3cd28+g0076
high	high	high	high	low	medium	high	low	high	high	high	4_cd3cd28+g0076
high	high	high	high	medium	high	high	low	high	high	high	4_cd3cd28+g0076
high	high	high	high	low	high	high	low	high	high	high	4_cd3cd28+g0076
high	high	high	high	low	high	high	low	high	high	high	4_cd3cd28+g0076
high	high	high	high	low	medium	high	low	high	high	high	4_cd3cd28+g0076
high	high	high	high	medium	high	high	low	high	high	high	4_cd3cd28+g0076
high	high	high	high	medium	high	high	low	high	high	high	4_cd3cd28+g0076
high	high	high	high	low	high	high	low	medium	high	high	4_cd3cd28+g0076
high	high	high	high	medium	high	high	low	high	high	high	4_cd3cd28+g0076
high	high	high	high	low	high	high	low	high	high	high	4_cd3cd28+g0076
high	high	high	high	low	high	high	low	high	high	high	4_cd3cd28+g0076
high	high	high	high	low	high	high	low	high	high	high	4_cd3cd28+g0076
high	high	high	high	medium	high	high	low	high	high	high	4_cd3cd28+g0076
high	high	high	medium	medium	medium	high	low	high	high	high	4_cd3cd28+g0076
high	high	high	high	medium	high	high	low	high	high	high	4_cd3cd28+g0076
high	high	high	high	low	high	high	low	high	high	high	4_cd3cd28+g0076
high	high	high	high	low	high	high	low	high	high	high	4_cd3cd28+g0076
high	high	high	high	NA	high	high	low	high	high	high	4_cd3cd28+g0076
high	high	high	high	high	high	high	low	high	high	high	4_cd3cd28+g0076
high	high	high	high	medium	high	high	low	high	high	high	4_cd3cd28+g0076
high	high	high	high	low	high	high	low	high	high	high	4_cd3cd28+g0076
high	high	high	high	high	medium	high	low	high	high	high	4_cd3cd28+g0076
high	high	high	high	low	high	high	low	high	high	high	4_cd3cd28+g0076
high	high	high	high	medium	high	high	low	high	high	high	4_cd3cd28+g0076
high	high	high	high	low	high	high	low	high	high	high	4_cd3cd28+g0076
high	high	high	high	medium	high	high	low	high	high	high	4_cd3cd28+g0076
high	high	high	high	low	high	high	low	medium	high	high	4_cd3cd28+g0076
high	high	high	high	low	high	high	low	high	high	high	4_cd3cd28+g0076
high	high	high	high	low	high	high	low	high	high	high	4_cd3cd28+g0076
high	high	high	high	low	high	high	low	high	high	high	4_cd3cd28+g0076
high	high	high	high	medium	medium	high	low	high	high	high	4_cd3cd28+g0076
high	high	high	high	low	high	high	low	high	high	high	4_cd3cd28+g0076
high	high	high	medium	low	high	high	low	high	high	high	4_cd3cd28+g0076
high	high	high	high	medium	high	high	low	high	high	high	4_cd3cd28+g0076
high	high	high	high	high	medium	high	low	high	high	high	4_cd3cd28+g0076
high	high	high	high	low	high	high	low	high	high	high	4_cd3cd28+g0076
high	high	high	high	low	high	high	low	high	high	high	4_cd3cd28+g0076
high	high	high	high	medium	high	high	low	high	high	high	4_cd3cd28+g0076
high	high	high	high	medium	high	high	NA	high	high	medium	4_cd3cd28+g0076
high	high	high	high	medium	high	high	low	high	high	high	4_cd3cd28+g0076
high	high	high	high	low	high	high	low	high	high	high	4_cd3cd28+g0076
high	high	high	high	low	medium	high	low	high	high	high	4_cd3cd28+g0076
high	high	high	high	medium	high	high	low	high	high	high	4_cd3cd28+g0076
high	high	high	high	low	low	low	low	high	high	high	4_cd3cd28+g0076
high	high	high	high	low	high	high	low	high	high	high	4_cd3cd28+g0076
high	high	high	high	low	high	high	low	high	high	high	4_cd3cd28+g0076
high	high	high	high	medium	medium	high	low	high	high	high	4_cd3cd28+g0076
high	high	high	high	medium	high	high	low	high	high	high	4_cd3cd28+g0076
high	high	high	high	low	high	high	low	high	high	high	4_cd3cd28+g0076
medium	high	high	high	low	high	high	low	high	high	high	4_cd3cd28+g0076
high	high	high	high	high	high	high	low	high	high	high	4_cd3cd28+g0076
high	high	high	high	high	high	high	low	high	high	high	4_cd3cd28+g0076
high	high	high	high	medium	medium	high	low	high	high	high	4_cd3cd28+g0076
high	high	high	high	high	high	high	low	high	high	high	4_cd3cd28+g0076
high	high	high	high	high	medium	high	low	high	high	high	4_cd3cd28+g0076
high	high	high	high	low	high	high	low	high	high	high	4_cd3cd28+g0076
high	high	high	high	low	high	high	low	high	high	high	4_cd3cd28+g0076
high	high	high	high	low	high	high	low	high	high	high	4_cd3cd28+g0076
high	high	high	high	low	medium	high	low	high	high	high	4_cd3cd28+g0076
high	high	high	high	low	high	high	low	high	high	high	4_cd3cd28+g0076
high	high	high	high	low	high	high	low	high	high	high	4_cd3cd28+g0076
high	high	high	high	low	high	high	low	high	high	high	4_cd3cd28+g0076
high	high	high	high	low	high	high	low	high	high	high	4_cd3cd28+g0076
high	high	high	medium	low	high	high	low	high	high	high	4_cd3cd28+g0076
high	high	high	high	low	high	high	low	high	high	high	4_cd3cd28+g0076
high	high	high	high	low	high	high	low	high	high	high	4_cd3cd28+g0076
high	high	high	high	low	low	low	low	high	high	high	4_cd3cd28+g0076
high	high	high	high	medium	high	high	low	high	high	high	4_cd3cd28+g0076
high	high	high	high	low	high	high	low	high	high	high	4_cd3cd28+g0076
high	high	high	high	low	medium	high	low	high	high	high	4_cd3cd28+g0076
high	high	high	high	low	high	high	low	high	high	high	4_cd3cd28+g0076
high	high	high	high	medium	high	high	low	high	high	high	4_cd3cd28+g0076
high	high	high	high	medium	high	high	low	high	high	high	4_cd3cd28+g0076
high	high	high	high	NA	high	high	low	high	high	high	4_cd3cd28+g0076
high	high	high	high	high	high	high	low	high	high	high	4_cd3cd28+g0076
high	high	high	high	high	high	high	low	high	high	high	4_cd3cd28+g0076
high	high	high	high	high	medium	high	low	high	high	high	4_cd3cd28+g0076
high	high	high	high	low	high	high	low	high	high	high	4_cd3cd28+g0076
medium	high	high	high	medium	high	high	low	high	high	high	4_cd3cd28+g0076
high	high	high	high	low	high	high	low	high	high	high	4_cd3cd28+g0076
high	high	high	high	low	high	high	low	high	high	high	4_cd3cd28+g0076
high	high	high	high	medium	high	high	low	high	high	high	4_cd3cd28+g0076
medium	high	high	high	low	high	high	low	high	high	high	4_cd3cd28+g0076
high	high	high	high	low	high	high	low	high	high	high	4_cd3cd28+g0076
high	high	high	high	low	high	high	low	high	high	high	4_cd3cd28+g0076
high	high	high	high	medium	high	high	low	high	high	high	4_cd3cd28+g0076
high	high	high	high	low	high	high	low	high	high	high	4_cd3cd28+g0076
high	high	high	high	low	medium	high	low	high	high	high	4_cd3cd28+g0076
high	high	high	high	high	high	high	low	high	high	high	4_cd3cd28+g0076
low	high	high	medium	low	high	high	NA	high	high	high	4_cd3cd28+g0076
high	high	high	high	NA	high	high	low	high	high	high	4_cd3cd28+g0076
high	high	high	high	low	high	high	low	high	high	high	4_cd3cd28+g0076
high	high	high	high	low	medium	high	low	high	high	high	4_cd3cd28+g0076
high	high	high	high	medium	medium	high	low	high	high	high	4_cd3cd28+g0076
high	high	high	high	low	medium	high	low	high	high	high	4_cd3cd28+g0076
high	high	high	high	low	high	high	low	high	high	high	4_cd3cd28+g0076
high	high	high	high	medium	high	high	low	high	high	high	4_cd3cd28+g0076
high	high	high	high	low	high	high	low	high	high	high	4_cd3cd28+g0076
high	high	high	high	medium	high	high	NA	high	high	high	4_cd3cd28+g0076
high	high	high	high	high	high	high	low	medium	high	high	4_cd3cd28+g0076
high	high	high	high	low	high	high	low	high	high	high	4_cd3cd28+g0076
high	high	high	high	low	high	high	low	low	medium	high	4_cd3cd28+g0076
high	high	high	high	low	high	high	low	high	high	high	4_cd3cd28+g0076
high	high	high	high	medium	high	high	low	high	high	high	4_cd3cd28+g0076
high	high	high	high	medium	high	high	low	high	high	high	4_cd3cd28+g0076
high	high	high	high	high	high	high	low	high	high	high	4_cd3cd28+g0076
high	high	high	high	high	medium	high	low	high	high	high	4_cd3cd28+g0076
high	high	high	high	medium	high	high	low	high	high	high	4_cd3cd28+g0076
high	high	high	medium	high	high	high	low	high	high	high	4_cd3cd28+g0076
high	high	high	high	NA	high	high	low	high	high	high	4_cd3cd28+g0076
high	high	high	high	medium	high	high	low	high	high	high	4_cd3cd28+g0076
high	high	high	high	NA	medium	medium	low	high	high	high	4_cd3cd28+g0076
high	high	high	high	medium	high	high	low	high	high	high	4_cd3cd28+g0076
high	high	high	high	medium	high	high	low	high	high	high	4_cd3cd28+g0076
high	high	high	high	medium	high	high	low	high	high	high	4_cd3cd28+g0076
high	high	high	high	low	high	high	low	high	high	high	4_cd3cd28+g0076
high	high	high	high	medium	high	high	low	medium	high	high	4_cd3cd28+g0076
high	high	high	high	low	high	high	low	high	high	high	4_cd3cd28+g0076
high	high	high	high	medium	high	high	low	high	high	high	4_cd3cd28+g0076
high	high	high	high	low	high	high	low	high	high	high	4_cd3cd28+g0076
high	high	high	high	low	medium	high	low	high	high	high	4_cd3cd28+g0076
high	high	high	high	low	high	high	low	high	high	high	4_cd3cd28+g0076
high	high	high	high	low	high	high	low	high	high	high	4_cd3cd28+g0076
high	high	high	high	high	high	high	low	high	high	high	4_cd3cd28+g0076
high	high	high	high	low	high	high	low	high	high	high	4_cd3cd28+g0076
high	high	high	high	low	high	high	low	high	high	high	4_cd3cd28+g0076
high	high	high	high	medium	high	high	low	high	high	high	4_cd3cd28+g0076
high	high	high	high	medium	NA	low	low	high	high	high	4_cd3cd28+g0076
high	high	high	high	medium	high	high	low	high	high	high	4_cd3cd28+g0076
high	high	high	high	medium	high	high	low	high	high	high	4_cd3cd28+g0076
high	high	high	high	low	high	high	low	high	high	high	4_cd3cd28+g0076
high	high	high	high	low	high	high	low	high	high	high	4_cd3cd28+g0076
high	high	high	high	high	high	high	low	high	high	high	4_cd3cd28+g0076
high	high	high	high	medium	high	high	low	high	high	high	4_cd3cd28+g0076
high	high	high	high	low	medium	high	low	high	high	high	4_cd3cd28+g0076
high	high	high	high	low	low	high	low	high	high	high	4_cd3cd28+g0076
high	high	high	high	low	high	high	low	high	high	high	4_cd3cd28+g0076
high	high	high	high	low	high	high	low	medium	high	high	4_cd3cd28+g0076
high	high	high	high	medium	high	high	low	high	high	high	4_cd3cd28+g0076
high	high	high	high	medium	high	high	low	high	high	high	4_cd3cd28+g0076
high	high	high	high	low	high	high	low	high	high	high	4_cd3cd28+g0076
high	high	high	high	low	high	high	low	high	high	high	4_cd3cd28+g0076
high	high	high	high	low	high	high	low	high	high	high	4_cd3cd28+g0076
high	high	high	high	low	medium	high	low	high	high	high	4_cd3cd28+g0076
high	high	high	high	medium	medium	high	low	high	high	high	4_cd3cd28+g0076
high	high	high	high	low	high	high	low	high	high	high	4_cd3cd28+g0076
high	high	high	high	low	high	high	low	high	high	high	4_cd3cd28+g0076
high	high	high	high	low	medium	high	low	high	high	high	4_cd3cd28+g0076
high	high	high	high	low	high	high	low	high	high	high	4_cd3cd28+g0076
high	high	high	high	high	high	high	low	medium	high	high	4_cd3cd28+g0076
high	high	high	high	low	high	high	low	high	high	high	4_cd3cd28+g0076
high	high	high	high	low	high	high	low	high	high	high	4_cd3cd28+g0076
high	high	high	high	low	high	high	low	high	high	high	4_cd3cd28+g0076
high	high	high	high	medium	high	high	low	high	high	high	4_cd3cd28+g0076
high	high	high	high	medium	high	high	low	high	high	high	4_cd3cd28+g0076
high	high	high	high	low	high	high	low	high	high	high	4_cd3cd28+g0076
high	high	high	high	high	high	high	low	high	high	high	4_cd3cd28+g0076
high	high	high	high	low	high	high	low	high	high	high	4_cd3cd28+g0076
high	high	high	high	high	high	high	low	high	high	high	4_cd3cd28+g0076
high	high	high	high	medium	medium	medium	low	high	high	high	4_cd3cd28+g0076
high	high	high	high	low	high	high	low	high	high	high	4_cd3cd28+g0076
high	high	high	high	low	high	high	low	high	high	high	4_cd3cd28+g0076
high	high	high	high	medium	medium	high	low	high	high	high	4_cd3cd28+g0076
high	high	high	high	low	high	high	low	high	high	high	4_cd3cd28+g0076
high	high	high	high	high	medium	high	NA	high	high	high	4_cd3cd28+g0076
high	high	high	high	low	high	high	low	high	high	high	4_cd3cd28+g0076
high	high	high	high	low	high	high	low	high	high	high	4_cd3cd28+g0076
high	high	high	high	low	high	high	low	high	high	high	4_cd3cd28+g0076
medium	high	high	high	medium	high	high	low	high	high	high	4_cd3cd28+g0076
high	high	high	high	low	medium	high	low	high	high	high	4_cd3cd28+g0076
high	high	high	high	low	high	high	low	high	high	high	4_cd3cd28+g0076
high	high	high	high	low	high	high	low	high	high	high	4_cd3cd28+g0076
high	high	high	high	low	high	high	low	high	high	high	4_cd3cd28+g0076
high	high	high	high	high	high	high	low	high	high	high	4_cd3cd28+g0076
high	high	high	high	low	high	high	low	high	high	high	4_cd3cd28+g0076
high	high	high	high	medium	high	high	low	high	high	high	4_cd3cd28+g0076
high	high	high	high	low	high	high	low	low	medium	high	4_cd3cd28+g0076
high	high	high	high	high	high	high	low	high	high	high	4_cd3cd28+g0076
high	high	high	high	low	high	high	low	high	high	high	4_cd3cd28+g0076
high	high	high	high	medium	high	high	low	medium	medium	high	4_cd3cd28+g0076
high	high	high	high	low	high	high	low	high	high	high	4_cd3cd28+g0076
high	high	high	high	medium	high	high	low	high	high	high	4_cd3cd28+g0076
high	high	high	high	high	high	high	low	high	high	high	4_cd3cd28+g0076
low	high	high	high	low	medium	high	low	high	high	high	4_cd3cd28+g0076
high	high	high	high	medium	high	high	low	high	high	high	4_cd3cd28+g0076
medium	high	high	high	low	medium	high	low	high	high	high	4_cd3cd28+g0076
high	high	high	medium	medium	high	high	low	high	high	high	4_cd3cd28+g0076
high	high	high	high	medium	high	high	low	high	high	high	4_cd3cd28+g0076
high	high	high	high	low	high	high	low	high	high	high	4_cd3cd28+g0076
high	high	high	high	low	high	high	low	high	high	high	4_cd3cd28+g0076
high	high	high	high	low	high	high	low	high	high	high	4_cd3cd28+g0076
high	high	high	high	low	high	high	low	high	high	high	4_cd3cd28+g0076
high	high	high	high	medium	high	high	low	high	high	high	4_cd3cd28+g0076
high	high	high	high	high	high	high	low	high	high	high	4_cd3cd28+g0076
high	high	high	high	medium	high	high	low	high	high	high	4_cd3cd28+g0076
high	high	high	high	high	high	high	low	high	high	high	4_cd3cd28+g0076
low	medium	high	high	medium	high	high	low	high	high	high	4_cd3cd28+g0076
medium	high	high	high	low	high	high	low	high	high	high	4_cd3cd28+g0076
high	high	high	high	low	high	high	NA	high	high	high	4_cd3cd28+g0076
high	high	high	high	medium	high	high	low	high	high	high	4_cd3cd28+g0076
high	high	high	high	low	high	high	low	high	high	high	4_cd3cd28+g0076
high	high	high	high	medium	high	high	low	high	high	high	4_cd3cd28+g0076
high	high	high	high	low	high	high	low	medium	medium	high	4_cd3cd28+g0076
high	high	high	high	high	high	high	low	high	high	high	4_cd3cd28+g0076
high	high	high	high	high	high	high	low	high	high	high	4_cd3cd28+g0076
high	high	high	high	medium	high	high	low	high	high	high	4_cd3cd28+g0076
high	high	high	high	low	high	high	low	high	high	high	4_cd3cd28+g0076
high	high	high	high	medium	high	high	low	high	high	high	4_cd3cd28+g0076
high	high	high	high	low	medium	high	low	high	high	high	4_cd3cd28+g0076
high	high	high	high	medium	high	high	low	medium	high	high	4_cd3cd28+g0076
high	high	high	high	low	high	high	low	high	high	high	4_cd3cd28+g0076
high	high	high	high	low	high	high	low	high	high	high	4_cd3cd28+g0076
high	high	high	high	medium	high	high	low	high	high	high	4_cd3cd28+g0076
medium	high	high	high	medium	high	high	low	high	high	high	4_cd3cd28+g0076
high	high	high	high	low	high	high	low	high	high	high	4_cd3cd28+g0076
high	high	high	high	medium	high	high	low	high	high	high	4_cd3cd28+g0076
medium	high	high	high	low	medium	high	low	high	high	high	4_cd3cd28+g0076
high	high	high	high	low	high	high	low	high	high	high	4_cd3cd28+g0076
high	high	high	high	low	high	high	low	high	high	high	4_cd3cd28+g0076
high	high	high	high	low	high	high	NA	high	high	high	4_cd3cd28+g0076
high	high	high	high	low	high	high	low	high	high	high	4_cd3cd28+g0076
high	high	high	high	low	high	high	low	high	high	high	4_cd3cd28+g0076
high	high	high	high	low	high	high	low	medium	high	high	4_cd3cd28+g0076
high	high	high	high	medium	high	high	low	high	high	high	4_cd3cd28+g0076
medium	high	high	high	medium	low	high	low	high	high	high	4_cd3cd28+g0076
high	high	high	high	medium	medium	high	low	high	high	high	4_cd3cd28+g0076
high	high	high	high	low	high	high	low	high	high	high	4_cd3cd28+g0076
high	high	high	high	medium	high	high	low	high	high	high	4_cd3cd28+g0076
high	high	high	high	medium	high	high	low	high	high	high	4_cd3cd28+g0076
high	high	high	high	low	low	high	low	high	high	high	4_cd3cd28+g0076
high	high	high	high	low	high	high	low	high	high	high	4_cd3cd28+g0076
high	high	high	high	medium	high	high	low	high	high	high	4_cd3cd28+g0076
high	high	high	high	low	high	high	low	high	high	high	4_cd3cd28+g0076
high	high	high	high	high	medium	high	low	medium	high	high	4_cd3cd28+g0076
high	high	high	high	low	high	high	low	high	high	high	4_cd3cd28+g0076
medium	high	high	high	low	medium	high	low	high	high	high	4_cd3cd28+g0076
high	high	high	high	low	high	high	low	high	high	high	4_cd3cd28+g0076
low	high	high	high	low	high	high	low	high	high	high	4_cd3cd28+g0076
high	high	high	high	medium	medium	medium	low	high	high	high	4_cd3cd28+g0076
high	high	high	high	low	high	high	low	high	high	high	4_cd3cd28+g0076
high	high	high	high	medium	medium	high	low	high	high	high	4_cd3cd28+g0076
high	high	high	high	low	high	high	low	high	high	high	4_cd3cd28+g0076
high	high	high	high	NA	high	high	low	high	high	high	4_cd3cd28+g0076
high	high	high	high	low	medium	high	low	high	high	high	4_cd3cd28+g0076
high	high	high	medium	high	high	high	low	high	high	high	4_cd3cd28+g0076
high	high	high	high	low	high	high	low	high	high	high	4_cd3cd28+g0076
high	high	high	high	low	high	high	low	medium	high	high	4_cd3cd28+g0076
high	high	high	high	low	high	high	low	high	high	high	4_cd3cd28+g0076
high	high	high	high	medium	medium	high	low	high	high	high	4_cd3cd28+g0076
high	high	high	high	low	high	high	low	high	high	high	4_cd3cd28+g0076
high	high	high	high	high	high	high	low	high	high	high	4_cd3cd28+g0076
high	high	high	high	NA	high	high	low	high	high	high	4_cd3cd28+g0076
high	high	high	high	low	high	high	low	high	high	high	4_cd3cd28+g0076
high	high	high	high	low	high	high	low	high	high	high	4_cd3cd28+g0076
high	high	high	high	low	high	high	low	high	high	high	4_cd3cd28+g0076
high	high	high	high	medium	high	high	low	high	high	high	4_cd3cd28+g0076
high	high	high	high	low	high	high	low	high	high	high	4_cd3cd28+g0076
medium	high	high	high	high	low	low	low	high	high	high	4_cd3cd28+g0076
high	high	high	high	medium	high	high	low	high	high	high	4_cd3cd28+g0076
high	high	high	high	low	high	high	low	high	high	high	4_cd3cd28+g0076
high	high	high	high	low	high	high	low	high	high	high	4_cd3cd28+g0076
high	high	high	high	low	high	high	low	high	high	high	4_cd3cd28+g0076
high	high	high	high	low	high	high	low	high	high	high	4_cd3cd28+g0076
high	high	high	high	low	high	high	low	high	high	high	4_cd3cd28+g0076
high	high	high	high	medium	high	high	low	high	high	high	4_cd3cd28+g0076
high	high	high	high	high	high	high	NA	high	high	high	4_cd3cd28+g0076
high	high	high	high	medium	high	high	low	high	high	high	4_cd3cd28+g0076
high	high	high	high	low	high	high	low	high	high	high	4_cd3cd28+g0076
high	high	high	high	low	high	high	low	high	high	high	4_cd3cd28+g0076
high	high	high	high	low	high	high	low	high	high	high	4_cd3cd28+g0076
high	high	high	high	high	high	high	low	high	high	high	4_cd3cd28+g0076
high	high	high	high	low	high	high	low	high	high	high	4_cd3cd28+g0076
high	high	high	high	medium	high	high	low	high	high	high	4_cd3cd28+g0076
high	high	high	high	low	medium	high	low	high	high	high	4_cd3cd28+g0076
high	high	high	high	medium	high	high	low	high	high	high	4_cd3cd28+g0076
high	high	high	high	low	medium	high	low	high	high	high	4_cd3cd28+g0076
high	high	high	high	low	high	high	low	high	high	high	4_cd3cd28+g0076
high	high	high	high	low	high	high	low	high	high	high	4_cd3cd28+g0076
high	high	high	high	low	high	high	low	high	high	high	4_cd3cd28+g0076
high	high	high	high	low	medium	high	low	high	high	high	4_cd3cd28+g0076
high	high	high	high	low	medium	high	low	high	high	high	4_cd3cd28+g0076
high	high	high	high	low	high	high	NA	high	high	high	4_cd3cd28+g0076
high	high	high	high	low	high	high	low	high	high	high	4_cd3cd28+g0076
high	high	high	high	low	high	high	low	high	high	high	4_cd3cd28+g0076
high	high	high	high	medium	high	high	low	high	high	high	4_cd3cd28+g0076
high	high	high	high	high	high	high	low	high	high	high	4_cd3cd28+g0076
high	high	high	high	medium	low	low	low	high	high	high	4_cd3cd28+g0076
high	high	high	high	high	medium	high	low	high	high	high	4_cd3cd28+g0076
low	high	high	high	medium	high	high	low	high	high	high	4_cd3cd28+g0076
high	high	high	high	high	high	high	low	high	high	high	4_cd3cd28+g0076
high	high	high	high	low	high	high	low	high	high	high	4_cd3cd28+g0076
high	high	high	high	medium	medium	high	low	high	high	high	4_cd3cd28+g0076
high	high	high	high	low	high	high	low	high	high	high	4_cd3cd28+g0076
high	high	high	high	medium	low	low	low	high	high	high	4_cd3cd28+g0076
high	high	high	high	high	high	high	low	high	high	high	4_cd3cd28+g0076
high	high	high	high	high	high	high	low	high	high	high	4_cd3cd28+g0076
high	high	high	medium	low	high	high	low	high	high	high	4_cd3cd28+g0076
high	high	high	medium	low	high	high	low	high	high	high	4_cd3cd28+g0076
high	high	high	high	medium	high	high	low	high	high	high	4_cd3cd28+g0076
high	high	high	high	low	medium	high	low	high	high	high	4_cd3cd28+g0076
high	high	high	high	medium	high	high	low	high	high	high	4_cd3cd28+g0076
high	high	high	high	medium	high	high	low	high	high	high	4_cd3cd28+g0076
high	high	high	high	low	high	high	low	medium	high	high	4_cd3cd28+g0076
high	high	high	high	high	high	high	low	high	high	high	4_cd3cd28+g0076
high	high	high	high	medium	medium	high	low	high	high	high	4_cd3cd28+g0076
high	high	high	high	medium	high	high	low	high	high	high	4_cd3cd28+g0076
high	high	high	high	low	high	high	low	high	high	high	4_cd3cd28+g0076
high	high	high	high	medium	medium	high	low	high	high	high	4_cd3cd28+g0076
high	high	high	high	low	high	high	low	high	high	high	4_cd3cd28+g0076
high	high	high	high	low	high	high	low	high	high	high	4_cd3cd28+g0076
high	high	high	high	low	high	high	low	high	high	high	4_cd3cd28+g0076
high	high	high	high	high	low	low	low	high	high	high	4_cd3cd28+g0076
high	high	high	high	low	high	high	low	high	high	high	4_cd3cd28+g0076
high	high	high	high	low	high	high	low	high	high	high	4_cd3cd28+g0076
high	high	high	high	low	medium	high	low	high	high	high	4_cd3cd28+g0076
high	high	high	high	low	high	high	low	high	high	high	4_cd3cd28+g0076
high	high	high	high	medium	high	high	low	high	high	high	4_cd3cd28+g0076
high	high	high	high	low	high	high	low	high	high	high	4_cd3cd28+g0076
high	high	high	high	medium	high	high	low	high	high	high	4_cd3cd28+g0076
high	high	high	high	low	high	high	low	high	high	high	4_cd3cd28+g0076
high	high	high	high	medium	high	high	low	high	high	high	4_cd3cd28+g0076
high	high	high	high	low	high	high	low	high	high	high	4_cd3cd28+g0076
high	high	high	high	medium	high	high	low	high	high	high	4_cd3cd28+g0076
high	high	high	high	low	low	medium	low	high	high	medium	4_cd3cd28+g0076
high	high	high	high	low	high	high	low	high	high	high	4_cd3cd28+g0076
high	high	high	high	medium	high	high	low	high	high	high	4_cd3cd28+g0076
high	high	high	high	low	high	high	low	high	high	high	4_cd3cd28+g0076
high	high	high	high	low	medium	high	low	high	high	high	4_cd3cd28+g0076
high	high	high	high	low	medium	high	low	high	high	high	4_cd3cd28+g0076
high	high	high	high	low	high	high	low	high	high	high	4_cd3cd28+g0076
high	high	high	high	medium	high	high	low	high	high	high	4_cd3cd28+g0076
low	medium	high	high	low	high	high	low	high	high	high	4_cd3cd28+g0076
high	high	high	high	high	high	high	low	high	high	high	4_cd3cd28+g0076
high	high	high	high	low	low	high	low	medium	high	high	4_cd3cd28+g0076
high	high	high	high	low	high	high	low	high	high	high	4_cd3cd28+g0076
medium	high	high	high	low	medium	high	low	high	high	high	4_cd3cd28+g0076
high	high	medium	low	medium	high	high	low	high	high	high	4_cd3cd28+g0076
high	high	high	medium	low	high	high	low	high	high	high	4_cd3cd28+g0076
high	high	high	high	low	high	high	low	high	high	high	4_cd3cd28+g0076
high	high	high	high	low	high	high	low	high	high	high	4_cd3cd28+g0076
high	high	high	high	high	high	high	low	high	high	high	4_cd3cd28+g0076
high	high	high	high	medium	high	high	low	high	high	high	4_cd3cd28+g0076
high	high	high	high	medium	high	high	low	high	high	high	4_cd3cd28+g0076
high	high	high	high	medium	high	high	low	high	high	high	4_cd3cd28+g0076
high	high	high	high	low	high	high	low	high	high	high	4_cd3cd28+g0076
high	high	high	high	high	high	high	low	high	high	high	4_cd3cd28+g0076
high	high	high	high	medium	high	high	low	high	high	high	4_cd3cd28+g0076
high	high	high	high	low	low	medium	low	high	high	high	4_cd3cd28+g0076
high	high	high	high	low	high	high	low	high	high	high	4_cd3cd28+g0076
high	high	high	high	high	high	high	low	high	high	high	4_cd3cd28+g0076
high	high	high	high	low	high	high	low	high	high	high	4_cd3cd28+g0076
high	high	high	medium	NA	high	high	low	high	high	high	4_cd3cd28+g0076
high	high	high	high	low	medium	high	NA	high	high	high	4_cd3cd28+g0076
high	high	high	high	high	high	high	low	high	high	high	4_cd3cd28+g0076
high	high	high	high	NA	high	high	low	high	high	high	4_cd3cd28+g0076
high	high	high	high	low	high	high	low	high	high	high	4_cd3cd28+g0076
high	high	high	medium	low	medium	high	low	low	high	high	4_cd3cd28+g0076
high	high	high	high	medium	high	high	low	high	high	high	4_cd3cd28+g0076
high	high	high	high	medium	high	high	low	high	high	high	4_cd3cd28+g0076
high	high	high	high	NA	high	high	low	high	high	high	4_cd3cd28+g0076
high	high	high	high	low	high	high	low	high	high	high	4_cd3cd28+g0076
high	high	high	high	medium	low	high	low	high	high	high	4_cd3cd28+g0076
high	high	high	high	medium	medium	high	low	high	high	high	4_cd3cd28+g0076
high	high	high	high	medium	high	high	low	high	high	high	4_cd3cd28+g0076
high	high	high	high	medium	high	high	low	high	high	high	4_cd3cd28+g0076
high	high	high	high	high	high	high	low	high	high	high	4_cd3cd28+g0076
high	high	high	high	medium	high	high	low	high	high	high	4_cd3cd28+g0076
high	high	high	high	low	high	high	low	high	high	high	4_cd3cd28+g0076
high	high	high	high	low	high	high	low	high	high	high	4_cd3cd28+g0076
high	high	high	high	high	high	high	low	high	high	high	4_cd3cd28+g0076
high	high	high	high	medium	high	high	low	high	high	high	4_cd3cd28+g0076
high	high	high	high	medium	medium	high	low	high	high	high	4_cd3cd28+g0076
high	high	high	high	low	medium	high	low	high	high	high	4_cd3cd28+g0076
high	high	high	high	medium	high	high	low	high	high	high	4_cd3cd28+g0076
