alkylated DNA	REACTION1
REACTION3211	oxidized c-type cytochrome
L-erythro-7,8-dihydrobiopterin	REACTION3212
NADP+	REACTION3212
REACTION3212	sepiapterin
REACTION3212	NADPH
NADH	REACTION3213
unknown oxidized electron acceptor	REACTION3213
REACTION3213	NAD+
REACTION3213	unknown reduced electron acceptor
3,4-dihydroxyphenylacetaldehyde	REACTION3214
NAD+	REACTION3214
REACTION3214	3,4-dihydroxyphenylacetate
REACTION3214	NADH
AMP	REACTION3215
diphosphate	REACTION3215
REACTION3215	5-phospho-alpha-D-ribose 1-diphosphate
REACTION3215	adenine
[protein]-(L-serine/L-threonine)	REACTION3216
ATP	REACTION3216
REACTION3216	[protein] (L-serine/L-threonine) phosphate
REACTION3216	ADP
[protein]-(L-serine/L-threonine)	REACTION3217
ATP	REACTION3217
REACTION3217	[protein] (L-serine/L-threonine) phosphate
REACTION3217	ADP
hydantoin	REACTION3218
REACTION3218	N-carbamoylglycine
[histone]-N6-acetyl-L-lysine	REACTION3219
REACTION3219	[histone]-L-lysine
REACTION3219	acetate
oleate	REACTION3220
ATP	REACTION3220
coenzyme A	REACTION3220
REACTION3220	oleoyl-CoA
REACTION3220	AMP
REACTION3220	diphosphate
GTP	REACTION3221
REACTION3221	cyclic-GMP
REACTION3221	diphosphate
RNase II poly-A substrate mRNA	REACTION3222
REACTION3222	RNase II substrate with no poly-A tail
REACTION3222	AMP
all-trans-retinol	REACTION3223
NADP+	REACTION3223
REACTION3223	all-trans-retinal
REACTION3223	NADPH
dTMP	REACTION3224
ATP	REACTION3224
REACTION3224	ADP
REACTION3224	dTDP
L-1-phosphatidylethanolamine	REACTION3225
REACTION3225	fatty acid
REACTION3225	1-acyl 2-lyso-phosphatidylethanolamine
reduced c-type cytochrome	REACTION3226
REACTION3226	oxidized c-type cytochrome
acetoacetyl-[acp]	REACTION3227
NADPH	REACTION3227
REACTION3227	(3R)-3-hydroxybutanoyl-[acp]
REACTION3227	NADP+
(S)-nicotine	REACTION3228
NADPH	REACTION3228
REACTION3228	nicotine-1'-N-oxide
REACTION3228	NADP+
[protein]-(L-serine/L-threonine)	REACTION3229
ATP	REACTION3229
REACTION3229	[protein] (L-serine/L-threonine) phosphate
REACTION3229	ADP
glutathione	REACTION3230
REACTION3230	glutathione disulfide
[protein]-(L-serine/L-threonine)	REACTION3231
ATP	REACTION3231
REACTION3231	[protein] (L-serine/L-threonine) phosphate
REACTION3231	ADP
phytenoyl-CoA	REACTION3232
NADPH	REACTION3232
REACTION3232	phytanoyl-CoA
REACTION3232	NADP+
acyl-CoA	REACTION3233
1-acyl 2-lyso-phosphatidylcholine	REACTION3233
REACTION3233	phosphatidylcholine
REACTION3233	coenzyme A
D-glucosyl-N-acylsphingosine	REACTION3234
REACTION3234	sphingosine ceramide
REACTION3234	beta-D-glucose
ATP	REACTION3235
tau protein	REACTION3235
REACTION3235	ADP
REACTION3235	O-phospho-tau protein
all-trans-retinol	REACTION3236
NADP+	REACTION3236
REACTION3236	all-trans-retinal
REACTION3236	NADPH
bleomycin	REACTION3237
REACTION3237	deamido-bleomycin
dihydroxyacetone	REACTION3238
ATP	REACTION3238
REACTION3238	dihydroxyacetone phosphate
REACTION3238	ADP
UDP-N-acetyl-alpha-D-galactosamine	REACTION3239
1-O-[O-(N-acetyl-alpha-neuraminyl)-2,3-beta-D-galactosyl-1,4-beta-D-glucosyl]ceramide	REACTION3239
REACTION3239	gangloside GM2
REACTION3239	UDP
acetyl-CoA	REACTION3240
dihydrolipoamide	REACTION3240
REACTION3240	S-acetyldihydrolipoamide
REACTION3240	coenzyme A
myristoyl-CoA	REACTION3241
REACTION3241	myristate
REACTION3241	coenzyme A
D-xylopyranose	REACTION3242
NADP+	REACTION3242
REACTION3242	D-xylonolactone
REACTION3242	NADPH
ATP	REACTION3243
acetyl-CoA	REACTION3243
hydrogen carbonate	REACTION3243
REACTION3243	malonyl-CoA
REACTION3243	ADP
REACTION3243	phosphate
oleamide	REACTION3244
REACTION3244	oleate
REACTION3244	ammonium
steroid	REACTION3245
reduced  adrenodoxin	REACTION3245
REACTION3245	11-beta-hydroxysteroid
REACTION3245	oxidized adrenodoxin
arachidonate	REACTION3246
NADPH	REACTION3246
REACTION3246	(15R)-hydroxyeicosapentaenoate
REACTION3246	NADP+
1-phosphatidyl-1D-myo-inositol 4,5-bisphosphate	REACTION3247
REACTION3247	1,2-diacyl-sn-glycerol
REACTION3247	D-myo-inositol (1,4,5)-trisphosphate
3-oxocholest-4-en-26-oate	REACTION3248
ATP	REACTION3248
coenzyme A	REACTION3248
REACTION3248	3-oxocholest-4-en-26-oyl-CoA
REACTION3248	AMP
REACTION3248	diphosphate
NADH	REACTION3249
ubiquinone[inner membrane]	REACTION3249
REACTION3249	NAD+
REACTION3249	ubiquinol[inner membrane]
reduced  adrenodoxin	REACTION3250
NADP+	REACTION3250
REACTION3250	oxidized adrenodoxin
REACTION3250	NADPH
organic molecule	REACTION3251
REACTION3251	alcohol
REACTION3251	superoxide
sphingosine ceramide	REACTION3252
REACTION3252	sphingosine
REACTION3252	fatty acid
oleate	REACTION3253
ATP	REACTION3253
coenzyme A	REACTION3253
REACTION3253	oleoyl-CoA
REACTION3253	AMP
REACTION3253	diphosphate
non-glucuronosylated glucuronoside acceptor	REACTION3254
UDP-alpha-D-glucuronate	REACTION3254
REACTION3254	glucuronosylated glucuronoside acceptor
REACTION3254	UDP
palmitoyl-[acp]	REACTION3255
REACTION3255	palmitate
REACTION3255	holo-[acyl-carrier protein]
protein	REACTION3256
REACTION3256	peptide
REACTION3256	peptide
[thyroglobulin]-L-tyrosine	REACTION3257
iodide	REACTION3257
REACTION3257	[thyroglobulin]-3-iodotyrosine
aliphatic amine	REACTION3258
REACTION3258	aldehyde
REACTION3258	ammonium
protein with incorrect disulfide bonds	REACTION3259
REACTION3259	protein with correct disulfide bonds
alpha-D-galactose 1-phosphate	REACTION3260
UTP	REACTION3260
REACTION3260	UDP-alpha-D-galactose
REACTION3260	diphosphate
sphinganine	REACTION3261
long-chain acyl-CoA	REACTION3261
REACTION3261	dihydroceramide
REACTION3261	coenzyme A
[histone]-L-lysine	REACTION3262
S-adenosyl-L-methionine	REACTION3262
REACTION3262	[histone] N6-methyl-L-lysine
REACTION3262	S-adenosyl-L-homocysteine
OPC4-CoA	REACTION3263
acetyl-CoA	REACTION3263
REACTION3263	OPC6-3-ketoacyl-CoA
REACTION3263	coenzyme A
geranylgeranyl diphosphate	REACTION3264
[protein]-L-cysteine	REACTION3264
REACTION3264	[protein]-S-geranylgeranyl-L-cysteine
REACTION3264	diphosphate
all-trans-retinol	REACTION3265
NADP+	REACTION3265
REACTION3265	all-trans-retinal
REACTION3265	NADPH
alpha-linolenoyl-CoA	REACTION3266
ferrocytochrome b5	REACTION3266
REACTION3266	stearidonoyl-CoA
REACTION3266	ferricytochrome b5
ATP	REACTION3267
[protein]-L-tyrosine	REACTION3267
REACTION3267	ADP
REACTION3267	[protein]-L-tyrosine phosphate
hypoglycin A	REACTION3268
glutathione	REACTION3268
REACTION3268	hypoglycin B
REACTION3268	L-cysteinyl-glycine
RNase E degradation substrate mRNA	REACTION3269
REACTION3269	single-stranded RNA
[protein]-(L-serine/L-threonine)	REACTION3270
ATP	REACTION3270
REACTION3270	[protein] (L-serine/L-threonine) phosphate
REACTION3270	ADP
(3R)-3-hydroxymyristoyl-[acp]	REACTION3271
REACTION3271	trans tetradec-2-enoyl-[acp]
5beta-cholestan-3-one	REACTION3272
NADP+	REACTION3272
REACTION3272	cholest-4-en-3-one
REACTION3272	NADPH
nucleoside diphosphate	REACTION3273
ATP	REACTION3273
REACTION3273	nucleoside triphosphate
REACTION3273	ADP
cotinine	REACTION3274
reduced flavoprotein	REACTION3274
REACTION3274	trans-3'-hydroxycotinine
REACTION3274	oxidized flavoprotein
peptidylproline (omega = 180)	REACTION3275
REACTION3275	peptidylproline (omega = 0)
dopamine	REACTION3276
REACTION3276	3,4-dihydroxyphenylacetaldehyde
REACTION3276	ammonium
peptide	REACTION3277
REACTION3277	peptide
REACTION3277	basic amino acid
ATP	REACTION3278
[protein]-L-tyrosine	REACTION3278
REACTION3278	ADP
REACTION3278	[protein]-L-tyrosine phosphate
UDP-alpha-D-galactose	REACTION3279
N-acetyl-beta-D-glucosaminyl-R	REACTION3279
REACTION3279	beta-D-galactosyl-(1->4)-N-acetyl-beta-D-glucosaminyl-R
REACTION3279	UDP
(15Z)-tetracosenoate	REACTION3280
ATP	REACTION3280
coenzyme A	REACTION3280
REACTION3280	(Z)-15-tetracosenoyl-CoA
REACTION3280	AMP
REACTION3280	diphosphate
8-oxo-dGDP	REACTION3281
REACTION3281	8-oxo-dGMP
REACTION3281	phosphate
glycerophosphodiester	REACTION3282
REACTION3282	alcohol
REACTION3282	sn-glycerol 3-phosphate
1,2-diacyl-sn-glycerol 3-phosphate	REACTION3283
REACTION3283	1,2-diacyl-sn-glycerol
REACTION3283	phosphate
electron-transfer quinone	REACTION3284
e-	REACTION3284
REACTION3284	electron-transfer quinol
1-phosphatidyl-1D-myo-inositol 4-phosphate	REACTION3285
ATP	REACTION3285
REACTION3285	1-phosphatidyl-1D-myo-inositol 4,5-bisphosphate
REACTION3285	ADP
creatine	REACTION3286
ATP	REACTION3286
REACTION3286	creatine-phosphate
REACTION3286	ADP
4alpha-methyl-5alpha-cholest-7-en-3beta-ol	REACTION3287
NADP+	REACTION3287
REACTION3287	4alpha-methyl-5alpha-cholest-7-en-3-one
REACTION3287	NADPH
thymidine	REACTION3288
ATP	REACTION3288
REACTION3288	dTMP
REACTION3288	ADP
nucleoside triphosphate	REACTION3289
RNA(n)	REACTION3289
REACTION3289	RNA(n+1)
REACTION3289	diphosphate
5-aminolevulinate	REACTION3290
REACTION3290	porphobilinogen
[alpha-tubuline]-L-lysine	REACTION3291
acetyl-CoA	REACTION3291
REACTION3291	[alpha-tubulin]-N6-acetyl-L-lysine
REACTION3291	coenzyme A
[protein]-(L-serine/L-threonine)	REACTION3292
ATP	REACTION3292
REACTION3292	[protein] (L-serine/L-threonine) phosphate
REACTION3292	ADP
oleate	REACTION3293
ATP	REACTION3293
coenzyme A	REACTION3293
REACTION3293	oleoyl-CoA
REACTION3293	AMP
REACTION3293	diphosphate
[protein]-(L-serine/L-threonine)	REACTION3294
ATP	REACTION3294
REACTION3294	[protein] (L-serine/L-threonine) phosphate
REACTION3294	ADP
hydantoin	REACTION3295
REACTION3295	N-carbamoylglycine
N-acetyl-alpha-D-glucosaminyl-[glycoprotein]	REACTION3296
REACTION3296	N-acetyl-alpha-D-glucosamine
REACTION3296	[glycoprotein]-(L-serine/L-threonine)
ethanol	REACTION3297
NADPH	REACTION3297
REACTION3297	acetaldehyde
REACTION3297	NADP+
[protein]-L-glutamine	REACTION3298
alkylamine	REACTION3298
REACTION3298	ammonium
REACTION3298	protein-N5-alkylglutamine
[protein] (L-serine/L-threonine) phosphate	REACTION3299
REACTION3299	[protein]-(L-serine/L-threonine)
REACTION3299	phosphate
cob(I)yrinate a,c-diamide	REACTION3300
ATP	REACTION3300
REACTION3300	adenosyl-cobyrinate a,c-diamide
REACTION3300	PPPi
L-thyroxine	REACTION3301
3'-phosphoadenylyl-sulfate	REACTION3301
REACTION3301	adenosine 3',5'-bisphosphate
REACTION3301	thyroxine sulfate
alpha-D-mannose 1-phosphate	REACTION3302
GTP	REACTION3302
REACTION3302	GDP-alpha-D-mannose
REACTION3302	diphosphate
protein	REACTION3303
REACTION3303	peptide
REACTION3303	peptide
DNA containing an apurinic/apyrimidinic site	REACTION3304
REACTION3304	5'-phosphopolynucleotide
REACTION3304	3'-terminal unsaturated sugar
uridine	REACTION3305
ATP	REACTION3305
REACTION3305	UMP
REACTION3305	ADP
cytosine in single-stranded DNA	REACTION3306
REACTION3306	uracil in single-stranded DNA
REACTION3306	ammonium
R'C(R)SH	REACTION3307
REACTION3307	R'C(R)S-S(R)CR'
ubiquinone	REACTION3308
e-	REACTION3308
REACTION3308	ubiquinol
glutathione	REACTION3309
RX	REACTION3309
REACTION3309	glutathione-toxin conjugate
REACTION3309	HX
vernolate	REACTION3310
REACTION3310	(9Z)-12,13-dihydroxyoctadeca-9-enoate
malonyl-CoA	REACTION3311
docosapentaenoyl-CoA	REACTION3311
REACTION3311	3-oxo-tetracosapentaenoyl-CoA
REACTION3311	coenzyme A
cotinine	REACTION3312
reduced flavoprotein	REACTION3312
REACTION3312	5'-hydroxycotinine
REACTION3312	oxidized flavoprotein
tRNAgln	REACTION3313
L-glutamine	REACTION3313
ATP	REACTION3313
REACTION3313	L-glutaminyl-[tRNAgln]
REACTION3313	AMP
REACTION3313	diphosphate
9S rRNA	REACTION3314
REACTION3314	5S rRNA
REACTION3314	single-stranded RNA
tRNAGlu	REACTION3315
L-glutamate	REACTION3315
ATP	REACTION3315
REACTION3315	L-glutamyl-[tRNAGlu]
REACTION3315	AMP
REACTION3315	diphosphate
L-kynurenine	REACTION3316
2-oxoglutarate	REACTION3316
REACTION3316	L-glutamate
REACTION3316	4-(2-aminophenyl)-2,4-dioxobutanoate
beta-D-galactoside	REACTION3317
REACTION3317	non galactosylated galactose acceptor
REACTION3317	beta-D-galactose
ATP	REACTION3318
[protein]-L-tyrosine	REACTION3318
REACTION3318	ADP
REACTION3318	[protein]-L-tyrosine phosphate
complement factor B	REACTION3319
REACTION3319	complement factor Ba
REACTION3319	complement factor Bb
N-acyl-beta-neuraminate 9-phosphate	REACTION3320
REACTION3320	N-acyl-beta-neuraminate
REACTION3320	phosphate
ATP	REACTION3321
beta-D-fructofuranose 6-phosphate	REACTION3321
REACTION3321	ADP
REACTION3321	fructose 1,6-bisphosphate
Fe2+	REACTION3322
REACTION3322	Fe3+
long-chain fatty acid	REACTION3323
ATP	REACTION3323
coenzyme A	REACTION3323
REACTION3323	long-chain acyl-CoA
REACTION3323	AMP
REACTION3323	diphosphate
NADH	REACTION3324
ubiquinone[inner membrane]	REACTION3324
REACTION3324	NAD+
REACTION3324	ubiquinol[inner membrane]
geranylgeranyl diphosphate	REACTION3325
[protein]-L-cysteine	REACTION3325
REACTION3325	[protein]-S-geranylgeranyl-L-cysteine
REACTION3325	diphosphate
(25R)-3alpha,7alpha,12alpha-trihydroxy-5beta-cholestan-26-oate	REACTION3326
ATP	REACTION3326
coenzyme A	REACTION3326
REACTION3326	(25R)-3alpha,7alpha,12alpha-trihydroxy-5beta-cholestanoyl-CoA
REACTION3326	AMP
REACTION3326	diphosphate
tetrahydropteroyl-[gamma-Glu](n)	REACTION3327
REACTION3327	tetrahydropteroyl-[gamma-Glu](n-1)
REACTION3327	L-glutamate
quinone	REACTION3328
NADPH	REACTION3328
REACTION3328	semiquinone
REACTION3328	NADP+
peptidylproline (omega = 180)	REACTION3329
REACTION3329	peptidylproline (omega = 0)
ATP	REACTION3330
protein	REACTION3330
REACTION3330	ADP
REACTION3330	phosphoprotein
nucleoside triphosphate	REACTION3331
RNA(n)	REACTION3331
REACTION3331	RNA(n+1)
REACTION3331	diphosphate
3-methoxy-4-hydroxyphenylglycol	REACTION3332
NAD+	REACTION3332
REACTION3332	3-methoxy-4-hydroxyphenylglycolaldehyde
REACTION3332	NADH
ATP	REACTION3333
receptor protein	REACTION3333
REACTION3333	ADP
REACTION3333	phosphorylated receptor protein
nucleoside cyclic 3',5'-monophosphate	REACTION3334
REACTION3334	nucleoside 5'-monophosphate
[protein]-(L-serine/L-threonine)	REACTION3335
ATP	REACTION3335
REACTION3335	[protein] (L-serine/L-threonine) phosphate
REACTION3335	ADP
glycyl-peptide	REACTION3336
myristoyl-CoA	REACTION3336
REACTION3336	N-tetradecanoylglycyl-peptide
REACTION3336	coenzyme A
pyruvate	REACTION3337
(R)-3-amino-2-methylpropanoate	REACTION3337
REACTION3337	L-alanine
REACTION3337	(S)-methylmalonate-semialdehyde
D-myo-inositol (1,3,4,5)-tetrakisphosphate	REACTION3338
REACTION3338	D-myo-inositol (1,3,4)-trisphosphate
REACTION3338	phosphate
palmitaldehyde	REACTION3339
NADP+	REACTION3339
REACTION3339	2-trans-hexadecenal
REACTION3339	NADPH
protein	REACTION3340
REACTION3340	peptide
REACTION3340	peptide
hydrogen sulfide	REACTION3341
electron-transfer quinone	REACTION3341
REACTION3341	intracellular S0
REACTION3341	electron-transfer quinol
nucleoside cyclic 3',5'-monophosphate	REACTION3342
REACTION3342	nucleoside 5'-monophosphate
lathosterol	REACTION3343
NAD(P)H	REACTION3343
REACTION3343	7-dehydrocholesterol
REACTION3343	NAD(P)+
deoxyribonucleoside triphosphate	REACTION3344
(deoxynucleotides)(n)	REACTION3344
REACTION3344	(deoxynucleotides)(n+1)
REACTION3344	diphosphate
3-[(3aS,4S,7aS)-7a-methyl-1,5-dioxo-octahydro-1H-inden-4-yl]propanoate	REACTION3345
ATP	REACTION3345
coenzyme A	REACTION3345
REACTION3345	3-[(3aS,4S,7aS)-7a-methyl-1,5-dioxo-octahydro-1H-inden-4-yl]propanoyl-CoA
REACTION3345	AMP
REACTION3345	diphosphate
reduced thioredoxin	REACTION3346
NADP+	REACTION3346
REACTION3346	oxidized thioredoxin
REACTION3346	NADPH
1-phosphatidyl-1D-myo-inositol 3,4,5-trisphosphate	REACTION3347
REACTION3347	1-phosphatidyl-1D-myo-inositol 3,4-bisphosphate
REACTION3347	phosphate
indole acetaldehyde	REACTION3348
NADPH	REACTION3348
REACTION3348	indole-3-ethanol
REACTION3348	NADP+
peptide with N-terminal 5-oxo-L-proline	REACTION3349
REACTION3349	peptide
REACTION3349	5-oxoproline
[protein]-(L-serine/L-threonine)	REACTION3350
ATP	REACTION3350
REACTION3350	[protein] (L-serine/L-threonine) phosphate
REACTION3350	ADP
D-myo-inositol (1,4,5)-trisphosphate	REACTION3351
REACTION3351	D-myo-inositol (1,4)-bisphosphate
REACTION3351	phosphate
long-chain acyl-CoA	REACTION3352
L-carnitine	REACTION3352
REACTION3352	O-acyl-L-carnitine
REACTION3352	coenzyme A
long-chain acyl-CoA[mitochondrial lumen]	REACTION3353
L-carnitine[mitochondrial lumen]	REACTION3353
REACTION3353	O-acyl-L-carnitine[mitochondrial lumen]
REACTION3353	coenzyme A[mitochondrial lumen]
riboflavin	REACTION3354
ATP	REACTION3354
REACTION3354	ADP
REACTION3354	FMN
(3R)-3-hydroxydodecanoyl-[acp]	REACTION3355
REACTION3355	trans dodec-2-enoyl-[acp]
[histone]-L-lysine	REACTION3356
S-adenosyl-L-methionine	REACTION3356
REACTION3356	[histone] N6-methyl-L-lysine
REACTION3356	S-adenosyl-L-homocysteine
peptidylproline (omega = 180)	REACTION3357
REACTION3357	peptidylproline (omega = 0)
glutathione-toxin conjugate	REACTION3358
REACTION3358	[Cys-Gly]-S-conjugate
REACTION3358	L-glutamate
(mannosyl)5-(N-acetylglucosaminyl)-N-glycan	REACTION3359
REACTION3359	N4-{N-acetyl-beta-D-glucosaminyl-(1,2)-alpha-D-mannosyl-(1,3)-[alpha-D-mannosyl-(1,6)]-beta-D-mannosyl-(1,4)-N-acetyl-beta-D-glucosaminyl-(1,4)-N-acetyl-beta-D-glucosaminyl}-protein-L-asparagine
REACTION3359	alpha-D-mannose
4alpha-methyl-cholesta-8-enol	REACTION3360
NAD(P)H	REACTION3360
REACTION3360	4alpha-hydroxymethyl-5alpha-cholesta-8-en-3beta-ol
REACTION3360	NAD(P)+
peptidylproline (omega = 180)	REACTION3361
REACTION3361	peptidylproline (omega = 0)
benzyl-6-hydroxy-2-cyclohexene-on-oyl	REACTION3362
REACTION3362	6-hydroxy-2-cyclohexen-one-carboxylate
REACTION3362	benzyl alcohol
carbonic acid	REACTION3363
1D-myo-inositol 1,2,3,4,5,6-hexakisphosphate	REACTION3364
REACTION3364	D myo-inositol penta kis phosphate
REACTION3364	phosphate
ATP	REACTION3365
[protein]-L-tyrosine	REACTION3365
REACTION3365	ADP
REACTION3365	[protein]-L-tyrosine phosphate
2-acyl 1-lyso-phosphatidylcholine	REACTION3366
REACTION3366	carboxylate
REACTION3366	sn-glycero-3-phosphocholine
ATP	REACTION3367
[protein]-L-tyrosine	REACTION3367
REACTION3367	ADP
REACTION3367	[protein]-L-tyrosine phosphate
1-phosphatidyl-1D-myo-inositol 3,4,5-trisphosphate	REACTION3368
REACTION3368	1-phosphatidyl-1D-myo-inositol 4,5-bisphosphate
REACTION3368	phosphate
L-tryptophan	REACTION3369
tRNAtrp	REACTION3369
ATP	REACTION3369
REACTION3369	L-tryptophanyl-[tRNAtrp]
REACTION3369	AMP
REACTION3369	diphosphate
NADH[mitochondrial lumen]	REACTION3370
ubiquinone[mitochondrial inner membrane]	REACTION3370
REACTION3370	NAD+[mitochondrial lumen]
REACTION3370	ubiquinol[mitochondrial inner membrane]
1-chloro-2,4-dinitrobenzene	REACTION3371
glutathione	REACTION3371
REACTION3371	2,4-dinitrophenyl-S-glutathione
REACTION3371	chloride
beta-D-glucuronosyl-(1->3)-beta-D-galactosyl-(1->3)-beta-D-galactosyl-(1->4)-beta-D-xylosyl-[core protein]	REACTION3372
UDP-N-acetyl-alpha-D-glucosamine	REACTION3372
REACTION3372	alpha-N-acetyl-D-glucosaminyl-(1->4)-beta-D-glucuronosyl-(1->3)-beta-D-galactosyl-(1->3)-beta-D-galactosyl-(1->4)-beta-D-xylosyl-[core protein]
REACTION3372	UDP
[protein]-(L-serine/L-threonine)	REACTION3373
ATP	REACTION3373
REACTION3373	[protein] (L-serine/L-threonine) phosphate
REACTION3373	ADP
L-arginine	REACTION3374
NADPH	REACTION3374
REACTION3374	L-citrulline
REACTION3374	nitric oxide
REACTION3374	NADP+
cyclic-GMP	REACTION3375
REACTION3375	GMP
biotinylated [BCCP dimer]	REACTION3376
hydrogen carbonate	REACTION3376
ATP	REACTION3376
REACTION3376	carboxylated-biotinylated [BCCP dimer]
REACTION3376	ADP
REACTION3376	phosphate
ATP	REACTION3377
pyruvate dehydrogenase	REACTION3377
REACTION3377	ADP
REACTION3377	phosphorylated pyruvate dehydrogenase
[protein]-(L-serine/L-threonine)	REACTION3378
ATP	REACTION3378
REACTION3378	[protein] (L-serine/L-threonine) phosphate
REACTION3378	ADP
D-myo-inositol (1,3,4,6)-tetrakisphosphate	REACTION3379
ATP	REACTION3379
REACTION3379	D-myo-inositol 1,3,4,5,6-pentakisphosphate
REACTION3379	ADP
cis-3-enoyl-CoA	REACTION3380
REACTION3380	trans-2-enoyl-CoA
phosphorylase b	REACTION3381
ATP	REACTION3381
REACTION3381	phosphorylase a
REACTION3381	ADP
GDP-L-fucose	REACTION3382
beta-D-galactosyl-(1->4)-N-acetyl-beta-D-glucosaminyl-(1->3)-beta-D-galactosyl-(1->4)-beta-D-glucosyl-(1<-->1)-ceramide	REACTION3382
REACTION3382	III2-alpha-fucosyllactotetraosylceramide
REACTION3382	GDP
1,3-bisphospho-D-glycerate	REACTION3383
REACTION3383	2,3-diphospho-D-glycerate
2-methoxy-6-(all-trans-decaprenyl)phenol	REACTION3384
NADPH	REACTION3384
REACTION3384	2-methoxy-6-all trans-decaprenyl-2-methoxy-1,4-benzoquinol
REACTION3384	NADP+
UDP-alpha-D-galactose	REACTION3385
beta-D-galactosyl-(1->4)-beta-D-xylosyl-[core protein]	REACTION3385
REACTION3385	beta-D-galactosyl-(1->3)-beta-D-galactosyl-(1->4)-beta-D-xylosyl-[core protein]
REACTION3385	UDP
ADP-D-ribosyl(n)-acceptor	REACTION3386
NAD+	REACTION3386
REACTION3386	ADP-D-ribosyl(n+1)-acceptor
REACTION3386	nicotinamide
RNA-DNA hybrid	REACTION3387
REACTION3387	DNA
REACTION3387	nucleoside 5'-monophosphate
5'-dephospho-DNA	REACTION3388
ATP	REACTION3388
REACTION3388	5'-phospho-DNA
REACTION3388	ADP
aminoacetone	REACTION3389
REACTION3389	methylglyoxal
REACTION3389	ammonium
UDP-N-acetyl-alpha-D-glucosamine	REACTION3390
(mannosyl)5-N-glycan	REACTION3390
REACTION3390	(mannosyl)5-(N-acetylglucosaminyl)-N-glycan
REACTION3390	UDP
tRNAsec	REACTION3391
L-serine	REACTION3391
ATP	REACTION3391
REACTION3391	L-seryl-[tRNAsec]
REACTION3391	AMP
REACTION3391	diphosphate
5-alpha-androstan-3beta,17beta-diol	REACTION3392
NADP+	REACTION3392
REACTION3392	5-alpha-dihydrotestosterone
REACTION3392	NADPH
protein	REACTION3393
REACTION3393	peptide
REACTION3393	peptide
1D-myo-inositol 4-monophosphate	REACTION3394
REACTION3394	myo-inositol
REACTION3394	phosphate
peptide with an N-terminal L-proline	REACTION3395
REACTION3395	peptide
REACTION3395	L-proline
ATP	REACTION3396
protein	REACTION3396
REACTION3396	ADP
REACTION3396	phosphoprotein
S-ubiquitinyl-[E1 ubiquitin-activating enzyme]-L-cysteine	REACTION3397
[E2 ubiquitin-conjugating enzyme]-L-cysteine	REACTION3397
REACTION3397	[E1 ubiquitin-activating enzyme]-L-cysteine
REACTION3397	S-ubiquitinyl-[E2 ubiquitin-conjugating enzyme]-L-cysteine
[protein] (L-serine/L-threonine) phosphate	REACTION3398
REACTION3398	[protein]-(L-serine/L-threonine)
REACTION3398	phosphate
2'-deoxyguanosine	REACTION3399
phosphate	REACTION3399
REACTION3399	guanine
REACTION3399	2-deoxy-alpha-D-ribose 1-phosphate
sphingosine ceramide	REACTION3400
REACTION3400	sphingosine
REACTION3400	fatty acid
long-chain fatty acid	REACTION3401
ATP	REACTION3401
coenzyme A	REACTION3401
REACTION3401	long-chain acyl-CoA
REACTION3401	AMP
REACTION3401	diphosphate
[protein] S-farnesyl-L-cysteine	REACTION3402
REACTION3402	[protein] c-terminal S-farnesyl-L-cysteine
REACTION3402	peptide
3-(4-hydroxyphenyl)-3-hydroxy-propanoyl-CoA	REACTION3403
REACTION3403	4-coumaryl-CoA
peptidylproline (omega = 180)	REACTION3404
REACTION3404	peptidylproline (omega = 0)
L-glutamine	REACTION3405
L-aspartyl-[tRNAAsn]	REACTION3405
ATP	REACTION3405
REACTION3405	L-glutamate
REACTION3405	L-asparaginyl-[tRNAasn]
REACTION3405	ADP
REACTION3405	phosphate
ATP	REACTION3406
protein	REACTION3406
REACTION3406	ADP
REACTION3406	phosphoprotein
RNase II poly-A substrate mRNA	REACTION3407
REACTION3407	RNase II substrate with no poly-A tail
REACTION3407	AMP
non-glucuronosylated glucuronoside acceptor	REACTION3408
UDP-alpha-D-glucuronate	REACTION3408
REACTION3408	glucuronosylated glucuronoside acceptor
REACTION3408	UDP
1-phosphatidyl-1D-myo-inositol 4,5-bisphosphate	REACTION3409
REACTION3409	1-phosphatidyl-1D-myo-inositol 5-phosphate
REACTION3409	phosphate
non-glucuronosylated glucuronoside acceptor	REACTION3410
UDP-alpha-D-glucuronate	REACTION3410
REACTION3410	glucuronosylated glucuronoside acceptor
REACTION3410	UDP
(20S)-17,20-dihydroxypregn-4-en-3-one	REACTION3411
NAD(P)+	REACTION3411
REACTION3411	17-alpha-hydroxyprogesterone
REACTION3411	NAD(P)H
nucleoside diphosphate	REACTION3412
REACTION3412	nucleoside 5'-monophosphate
REACTION3412	phosphate
nucleoside triphosphate	REACTION3413
RNA(n)	REACTION3413
REACTION3413	RNA(n+1)
REACTION3413	diphosphate
allopregnanolone	REACTION3414
NAD(P)+	REACTION3414
REACTION3414	5-alpha-pregnane-3,20-dione
REACTION3414	NAD(P)H
[protein]-L-tyrosine phosphate	REACTION3415
REACTION3415	[protein]-L-tyrosine
REACTION3415	phosphate
spermine	REACTION3416
acetyl-CoA	REACTION3416
REACTION3416	N1-acetylspermine
REACTION3416	coenzyme A
protein	REACTION3417
REACTION3417	peptide
REACTION3417	peptide
1-(beta-D-ribofuranosyl)-1,4-dihydronicotinamide	REACTION3418
quinone	REACTION3418
REACTION3418	quinol
